Datum;Uhrzeit;8:00 Uhr Prognose [MW];Online Hochrechnung [MW]
03.07.2016;00:15 - 00:30;1541;1468
03.07.2016;00:30 - 00:45;1574;1483
03.07.2016;00:45 - 01:00;1609;1472
03.07.2016;01:00 - 01:15;1630;1559
03.07.2016;01:15 - 01:30;1636;1594
03.07.2016;01:30 - 01:45;1643;1568
03.07.2016;01:45 - 02:00;1649;1532
03.07.2016;02:00 - 02:15;1652;1492
03.07.2016;02:15 - 02:30;1644;1473
03.07.2016;02:30 - 02:45;1636;1481
03.07.2016;02:45 - 03:00;1628;1468
03.07.2016;03:00 - 03:15;1615;1451
03.07.2016;03:15 - 03:30;1602;1413
03.07.2016;03:30 - 03:45;1589;1387
03.07.2016;03:45 - 04:00;1575;1368
03.07.2016;04:00 - 04:15;1562;1376
03.07.2016;04:15 - 04:30;1544;1419
03.07.2016;04:30 - 04:45;1525;1387
03.07.2016;04:45 - 05:00;1507;1378
03.07.2016;05:00 - 05:15;1490;1334
03.07.2016;05:15 - 05:30;1480;1290
03.07.2016;05:30 - 05:45;1471;1280
03.07.2016;05:45 - 06:00;1461;1259
03.07.2016;06:00 - 06:15;1456;1208
03.07.2016;06:15 - 06:30;1435;1151
03.07.2016;06:30 - 06:45;1414;1137
03.07.2016;06:45 - 07:00;1393;1084
03.07.2016;07:00 - 07:15;1369;999
03.07.2016;07:15 - 07:30;1300;957
03.07.2016;07:30 - 07:45;1233;910
03.07.2016;07:45 - 08:00;1165;864
03.07.2016;08:00 - 08:15;1105;856
03.07.2016;08:15 - 08:30;1096;853
03.07.2016;08:30 - 08:45;1091;880
03.07.2016;08:45 - 09:00;1091;883
03.07.2016;09:00 - 09:15;1094;887
03.07.2016;09:15 - 09:30;1086;895
03.07.2016;09:30 - 09:45;1075;896
03.07.2016;09:45 - 10:00;1054;886
03.07.2016;10:00 - 10:15;1036;907
03.07.2016;10:15 - 10:30;1028;935
03.07.2016;10:30 - 10:45;1026;921
03.07.2016;10:45 - 11:00;1025;914
03.07.2016;11:00 - 11:15;1020;898
03.07.2016;11:15 - 11:30;1039;887
03.07.2016;11:30 - 11:45;1057;861
03.07.2016;11:45 - 12:00;1074;830
03.07.2016;12:00 - 12:15;1091;890
03.07.2016;12:15 - 12:30;1109;953
03.07.2016;12:30 - 12:45;1130;937
03.07.2016;12:45 - 13:00;1150;1045
03.07.2016;13:00 - 13:15;1167;1033
03.07.2016;13:15 - 13:30;1181;1294
03.07.2016;13:30 - 13:45;1197;1368
03.07.2016;13:45 - 14:00;1214;1456
03.07.2016;14:00 - 14:15;1229;1453
03.07.2016;14:15 - 14:30;1231;1308
03.07.2016;14:30 - 14:45;1229;1362
03.07.2016;14:45 - 15:00;1228;1508
03.07.2016;15:00 - 15:15;1232;1570
03.07.2016;15:15 - 15:30;1218;1506
03.07.2016;15:30 - 15:45;1202;1426
03.07.2016;15:45 - 16:00;1187;1350
03.07.2016;16:00 - 16:15;1171;1164
03.07.2016;16:15 - 16:30;1146;1007
03.07.2016;16:30 - 16:45;1118;1007
03.07.2016;16:45 - 17:00;1090;977
03.07.2016;17:00 - 17:15;1065;1010
03.07.2016;17:15 - 17:30;1017;1028
03.07.2016;17:30 - 17:45;968;1072
03.07.2016;17:45 - 18:00;918;979
03.07.2016;18:00 - 18:15;868;937
03.07.2016;18:15 - 18:30;812;858
03.07.2016;18:30 - 18:45;754;869
03.07.2016;18:45 - 19:00;695;736
03.07.2016;19:00 - 19:15;639;646
03.07.2016;19:15 - 19:30;585;565
03.07.2016;19:30 - 19:45;531;494
03.07.2016;19:45 - 20:00;477;439
03.07.2016;20:00 - 20:15;424;387
03.07.2016;20:15 - 20:30;393;356
03.07.2016;20:30 - 20:45;362;314
03.07.2016;20:45 - 21:00;337;294
03.07.2016;21:00 - 21:15;318;269
03.07.2016;21:15 - 21:30;317;255
03.07.2016;21:30 - 21:45;317;274
03.07.2016;21:45 - 22:00;318;256
03.07.2016;22:00 - 22:15;317;255
03.07.2016;22:15 - 22:30;330;260
03.07.2016;22:30 - 22:45;343;266
03.07.2016;22:45 - 23:00;352;275
03.07.2016;23:00 - 23:15;362;269
03.07.2016;23:15 - 23:30;368;271
03.07.2016;23:30 - 23:45;376;271
03.07.2016;23:45 - 00:00;384;288
04.07.2016;00:00 - 00:15;388;312
04.07.2016;00:15 - 00:30;386;306
04.07.2016;00:30 - 00:45;384;301
04.07.2016;00:45 - 01:00;382;333
04.07.2016;01:00 - 01:15;376;329
04.07.2016;01:15 - 01:30;364;339
04.07.2016;01:30 - 01:45;352;342
04.07.2016;01:45 - 02:00;341;340
04.07.2016;02:00 - 02:15;328;333
04.07.2016;02:15 - 02:30;322;332
04.07.2016;02:30 - 02:45;314;300
04.07.2016;02:45 - 03:00;308;270
04.07.2016;03:00 - 03:15;303;257
04.07.2016;03:15 - 03:30;306;238
04.07.2016;03:30 - 03:45;309;230
04.07.2016;03:45 - 04:00;312;219
04.07.2016;04:00 - 04:15;314;206
04.07.2016;04:15 - 04:30;317;196
04.07.2016;04:30 - 04:45;319;203
04.07.2016;04:45 - 05:00;322;206
04.07.2016;05:00 - 05:15;323;202
04.07.2016;05:15 - 05:30;326;205
04.07.2016;05:30 - 05:45;327;213
04.07.2016;05:45 - 06:00;330;222
04.07.2016;06:00 - 06:15;330;216
04.07.2016;06:15 - 06:30;327;210
04.07.2016;06:30 - 06:45;321;209
04.07.2016;06:45 - 07:00;308;211
04.07.2016;07:00 - 07:15;296;195
04.07.2016;07:15 - 07:30;267;195
04.07.2016;07:30 - 07:45;238;179
04.07.2016;07:45 - 08:00;213;154
04.07.2016;08:00 - 08:15;189;123
04.07.2016;08:15 - 08:30;175;101
04.07.2016;08:30 - 08:45;160;84
04.07.2016;08:45 - 09:00;154;77
04.07.2016;09:00 - 09:15;146;69
04.07.2016;09:15 - 09:30;150;73
04.07.2016;09:30 - 09:45;155;77
04.07.2016;09:45 - 10:00;155;95
04.07.2016;10:00 - 10:15;156;107
04.07.2016;10:15 - 10:30;160;147
04.07.2016;10:30 - 10:45;163;171
04.07.2016;10:45 - 11:00;167;186
04.07.2016;11:00 - 11:15;171;187
04.07.2016;11:15 - 11:30;173;201
04.07.2016;11:30 - 11:45;176;208
04.07.2016;11:45 - 12:00;179;198
04.07.2016;12:00 - 12:15;180;186
04.07.2016;12:15 - 12:30;180;172
04.07.2016;12:30 - 12:45;180;171
04.07.2016;12:45 - 13:00;181;149
04.07.2016;13:00 - 13:15;181;147
04.07.2016;13:15 - 13:30;182;158
04.07.2016;13:30 - 13:45;183;169
04.07.2016;13:45 - 14:00;183;163
04.07.2016;14:00 - 14:15;185;162
04.07.2016;14:15 - 14:30;184;143
04.07.2016;14:30 - 14:45;183;138
04.07.2016;14:45 - 15:00;181;134
04.07.2016;15:00 - 15:15;183;134
04.07.2016;15:15 - 15:30;186;120
04.07.2016;15:30 - 15:45;187;120
04.07.2016;15:45 - 16:00;190;112
04.07.2016;16:00 - 16:15;192;129
04.07.2016;16:15 - 16:30;186;170
04.07.2016;16:30 - 16:45;181;168
04.07.2016;16:45 - 17:00;175;153
04.07.2016;17:00 - 17:15;171;156
04.07.2016;17:15 - 17:30;160;161
04.07.2016;17:30 - 17:45;149;160
04.07.2016;17:45 - 18:00;138;170
04.07.2016;18:00 - 18:15;127;151
04.07.2016;18:15 - 18:30;119;151
04.07.2016;18:30 - 18:45;110;140
04.07.2016;18:45 - 19:00;102;146
04.07.2016;19:00 - 19:15;94;134
04.07.2016;19:15 - 19:30;87;128
04.07.2016;19:30 - 19:45;80;114
04.07.2016;19:45 - 20:00;73;107
04.07.2016;20:00 - 20:15;66;118
04.07.2016;20:15 - 20:30;69;124
04.07.2016;20:30 - 20:45;69;127
04.07.2016;20:45 - 21:00;70;131
04.07.2016;21:00 - 21:15;72;152
04.07.2016;21:15 - 21:30;88;157
04.07.2016;21:30 - 21:45;108;157
04.07.2016;21:45 - 22:00;127;166
04.07.2016;22:00 - 22:15;147;173
04.07.2016;22:15 - 22:30;167;191
04.07.2016;22:30 - 22:45;188;216
04.07.2016;22:45 - 23:00;200;247
04.07.2016;23:00 - 23:15;214;268
04.07.2016;23:15 - 23:30;227;276
04.07.2016;23:30 - 23:45;240;297
04.07.2016;23:45 - 00:00;254;301
05.07.2016;00:00 - 00:15;325;329
05.07.2016;00:15 - 00:30;347;361
05.07.2016;00:30 - 00:45;370;396
05.07.2016;00:45 - 01:00;394;423
05.07.2016;01:00 - 01:15;413;441
05.07.2016;01:15 - 01:30;445;477
05.07.2016;01:30 - 01:45;475;511
05.07.2016;01:45 - 02:00;506;551
05.07.2016;02:00 - 02:15;535;571
05.07.2016;02:15 - 02:30;554;582
05.07.2016;02:30 - 02:45;572;552
05.07.2016;02:45 - 03:00;589;565
05.07.2016;03:00 - 03:15;610;600
05.07.2016;03:15 - 03:30;629;602
05.07.2016;03:30 - 03:45;648;630
05.07.2016;03:45 - 04:00;667;643
05.07.2016;04:00 - 04:15;687;660
05.07.2016;04:15 - 04:30;700;670
05.07.2016;04:30 - 04:45;714;689
05.07.2016;04:45 - 05:00;728;671
05.07.2016;05:00 - 05:15;741;666
05.07.2016;05:15 - 05:30;765;677
05.07.2016;05:30 - 05:45;789;680
05.07.2016;05:45 - 06:00;814;691
05.07.2016;06:00 - 06:15;836;708
05.07.2016;06:15 - 06:30;846;730
05.07.2016;06:30 - 06:45;859;747
05.07.2016;06:45 - 07:00;870;744
05.07.2016;07:00 - 07:15;884;745
05.07.2016;07:15 - 07:30;890;733
05.07.2016;07:30 - 07:45;897;737
05.07.2016;07:45 - 08:00;903;740
05.07.2016;08:00 - 08:15;905;757
05.07.2016;08:15 - 08:30;985;787
05.07.2016;08:30 - 08:45;1066;833
05.07.2016;08:45 - 09:00;1144;936
05.07.2016;09:00 - 09:15;1223;1068
05.07.2016;09:15 - 09:30;1344;1160
05.07.2016;09:30 - 09:45;1460;1301
05.07.2016;09:45 - 10:00;1570;1445
05.07.2016;10:00 - 10:15;1682;1497
05.07.2016;10:15 - 10:30;1775;1571
05.07.2016;10:30 - 10:45;1878;1676
05.07.2016;10:45 - 11:00;1985;1860
05.07.2016;11:00 - 11:15;2084;1965
05.07.2016;11:15 - 11:30;2171;2222
05.07.2016;11:30 - 11:45;2260;2210
05.07.2016;11:45 - 12:00;2345;2290
05.07.2016;12:00 - 12:15;2443;2398
05.07.2016;12:15 - 12:30;2564;2423
05.07.2016;12:30 - 12:45;2689;2511
05.07.2016;12:45 - 13:00;2806;2563
05.07.2016;13:00 - 13:15;2903;2590
05.07.2016;13:15 - 13:30;2986;2778
05.07.2016;13:30 - 13:45;3071;2736
05.07.2016;13:45 - 14:00;3155;2652
05.07.2016;14:00 - 14:15;3238;2868
05.07.2016;14:15 - 14:30;3324;2843
05.07.2016;14:30 - 14:45;3426;2882
05.07.2016;14:45 - 15:00;3529;2943
05.07.2016;15:00 - 15:15;3650;3048
05.07.2016;15:15 - 15:30;3693;3054
05.07.2016;15:30 - 15:45;3732;3135
05.07.2016;15:45 - 16:00;3773;3211
05.07.2016;16:00 - 16:15;3815;3369
05.07.2016;16:15 - 16:30;3824;3559
05.07.2016;16:30 - 16:45;3834;3609
05.07.2016;16:45 - 17:00;3844;3943
05.07.2016;17:00 - 17:15;3850;3734
05.07.2016;17:15 - 17:30;3816;3758
05.07.2016;17:30 - 17:45;3778;3666
05.07.2016;17:45 - 18:00;3728;3953
05.07.2016;18:00 - 18:15;3678;4045
05.07.2016;18:15 - 18:30;3578;4084
05.07.2016;18:30 - 18:45;3473;4074
05.07.2016;18:45 - 19:00;3389;4305
05.07.2016;19:00 - 19:15;3307;4281
05.07.2016;19:15 - 19:30;3189;4201
05.07.2016;19:30 - 19:45;3071;4172
05.07.2016;19:45 - 20:00;2958;4003
05.07.2016;20:00 - 20:15;2833;3873
05.07.2016;20:15 - 20:30;2704;3679
05.07.2016;20:30 - 20:45;2567;3571
05.07.2016;20:45 - 21:00;2434;3343
05.07.2016;21:00 - 21:15;2304;3126
05.07.2016;21:15 - 21:30;2194;3051
05.07.2016;21:30 - 21:45;2077;2844
05.07.2016;21:45 - 22:00;1963;2733
05.07.2016;22:00 - 22:15;1847;2577
05.07.2016;22:15 - 22:30;1770;2456
05.07.2016;22:30 - 22:45;1696;2342
05.07.2016;22:45 - 23:00;1624;2249
05.07.2016;23:00 - 23:15;1551;2195
05.07.2016;23:15 - 23:30;1513;2054
05.07.2016;23:30 - 23:45;1472;1952
05.07.2016;23:45 - 00:00;1432;1866
06.07.2016;00:00 - 00:15;1678;1823
06.07.2016;00:15 - 00:30;1673;1752
06.07.2016;00:30 - 00:45;1669;1661
06.07.2016;00:45 - 01:00;1665;1606
06.07.2016;01:00 - 01:15;1648;1527
06.07.2016;01:15 - 01:30;1643;1537
06.07.2016;01:30 - 01:45;1638;1502
06.07.2016;01:45 - 02:00;1630;1453
06.07.2016;02:00 - 02:15;1618;1471
06.07.2016;02:15 - 02:30;1602;1495
06.07.2016;02:30 - 02:45;1587;1451
06.07.2016;02:45 - 03:00;1571;1462
06.07.2016;03:00 - 03:15;1554;1450
06.07.2016;03:15 - 03:30;1530;1460
06.07.2016;03:30 - 03:45;1505;1415
06.07.2016;03:45 - 04:00;1481;1422
06.07.2016;04:00 - 04:15;1456;1444
06.07.2016;04:15 - 04:30;1425;1407
06.07.2016;04:30 - 04:45;1393;1313
06.07.2016;04:45 - 05:00;1362;1248
06.07.2016;05:00 - 05:15;1333;1210
06.07.2016;05:15 - 05:30;1304;1192
06.07.2016;05:30 - 05:45;1273;1207
06.07.2016;05:45 - 06:00;1243;1118
06.07.2016;06:00 - 06:15;1215;1097
06.07.2016;06:15 - 06:30;1191;951
06.07.2016;06:30 - 06:45;1173;911
06.07.2016;06:45 - 07:00;1155;808
06.07.2016;07:00 - 07:15;1136;795
06.07.2016;07:15 - 07:30;1119;811
06.07.2016;07:30 - 07:45;1102;754
06.07.2016;07:45 - 08:00;1085;748
06.07.2016;08:00 - 08:15;1066;732
06.07.2016;08:15 - 08:30;1081;724
06.07.2016;08:30 - 08:45;1096;769
06.07.2016;08:45 - 09:00;1111;745
06.07.2016;09:00 - 09:15;1128;728
06.07.2016;09:15 - 09:30;1135;752
06.07.2016;09:30 - 09:45;1143;728
06.07.2016;09:45 - 10:00;1151;735
06.07.2016;10:00 - 10:15;1162;797
06.07.2016;10:15 - 10:30;1177;811
06.07.2016;10:30 - 10:45;1193;829
06.07.2016;10:45 - 11:00;1207;849
06.07.2016;11:00 - 11:15;1220;884
06.07.2016;11:15 - 11:30;1230;901
06.07.2016;11:30 - 11:45;1241;919
06.07.2016;11:45 - 12:00;1253;1071
06.07.2016;12:00 - 12:15;1267;1043
06.07.2016;12:15 - 12:30;1277;1151
06.07.2016;12:30 - 12:45;1286;1166
06.07.2016;12:45 - 13:00;1296;1151
06.07.2016;13:00 - 13:15;1303;1227
06.07.2016;13:15 - 13:30;1320;1193
06.07.2016;13:30 - 13:45;1336;1162
06.07.2016;13:45 - 14:00;1353;1236
06.07.2016;14:00 - 14:15;1370;1266
06.07.2016;14:15 - 14:30;1373;1215
06.07.2016;14:30 - 14:45;1375;1117
06.07.2016;14:45 - 15:00;1378;1190
06.07.2016;15:00 - 15:15;1391;1147
06.07.2016;15:15 - 15:30;1385;1014
06.07.2016;15:30 - 15:45;1378;1083
06.07.2016;15:45 - 16:00;1371;1111
06.07.2016;16:00 - 16:15;1364;995
06.07.2016;16:15 - 16:30;1352;1064
06.07.2016;16:30 - 16:45;1339;1101
06.07.2016;16:45 - 17:00;1326;1059
06.07.2016;17:00 - 17:15;1312;1069
06.07.2016;17:15 - 17:30;1282;1030
06.07.2016;17:30 - 17:45;1250;957
06.07.2016;17:45 - 18:00;1219;943
06.07.2016;18:00 - 18:15;1189;966
06.07.2016;18:15 - 18:30;1161;916
06.07.2016;18:30 - 18:45;1131;909
06.07.2016;18:45 - 19:00;1101;894
06.07.2016;19:00 - 19:15;1075;886
06.07.2016;19:15 - 19:30;1030;852
06.07.2016;19:30 - 19:45;982;757
06.07.2016;19:45 - 20:00;933;728
06.07.2016;20:00 - 20:15;884;643
06.07.2016;20:15 - 20:30;840;606
06.07.2016;20:30 - 20:45;797;549
06.07.2016;20:45 - 21:00;754;528
06.07.2016;21:00 - 21:15;725;524
06.07.2016;21:15 - 21:30;681;507
06.07.2016;21:30 - 21:45;636;512
06.07.2016;21:45 - 22:00;591;490
06.07.2016;22:00 - 22:15;546;451
06.07.2016;22:15 - 22:30;512;458
06.07.2016;22:30 - 22:45;477;444
06.07.2016;22:45 - 23:00;441;428
06.07.2016;23:00 - 23:15;407;392
06.07.2016;23:15 - 23:30;383;351
06.07.2016;23:30 - 23:45;358;334
06.07.2016;23:45 - 00:00;334;311
07.07.2016;00:00 - 00:15;367;268
07.07.2016;00:15 - 00:30;347;219
07.07.2016;00:30 - 00:45;327;205
07.07.2016;00:45 - 01:00;306;201
07.07.2016;01:00 - 01:15;285;192
07.07.2016;01:15 - 01:30;266;172
07.07.2016;01:30 - 01:45;247;158
07.07.2016;01:45 - 02:00;229;140
07.07.2016;02:00 - 02:15;211;130
07.07.2016;02:15 - 02:30;205;127
07.07.2016;02:30 - 02:45;198;129
07.07.2016;02:45 - 03:00;192;118
07.07.2016;03:00 - 03:15;185;94
07.07.2016;03:15 - 03:30;183;86
07.07.2016;03:30 - 03:45;179;79
07.07.2016;03:45 - 04:00;177;75
07.07.2016;04:00 - 04:15;175;74
07.07.2016;04:15 - 04:30;172;71
07.07.2016;04:30 - 04:45;172;74
07.07.2016;04:45 - 05:00;171;81
07.07.2016;05:00 - 05:15;171;83
07.07.2016;05:15 - 05:30;165;81
07.07.2016;05:30 - 05:45;158;67
07.07.2016;05:45 - 06:00;152;62
07.07.2016;06:00 - 06:15;147;58
07.07.2016;06:15 - 06:30;140;51
07.07.2016;06:30 - 06:45;133;52
07.07.2016;06:45 - 07:00;126;51
07.07.2016;07:00 - 07:15;119;56
07.07.2016;07:15 - 07:30;104;51
07.07.2016;07:30 - 07:45;87;42
07.07.2016;07:45 - 08:00;72;31
07.07.2016;08:00 - 08:15;58;22
07.07.2016;08:15 - 08:30;58;18
07.07.2016;08:30 - 08:45;60;18
07.07.2016;08:45 - 09:00;63;27
07.07.2016;09:00 - 09:15;64;39
07.07.2016;09:15 - 09:30;66;47
07.07.2016;09:30 - 09:45;68;44
07.07.2016;09:45 - 10:00;68;37
07.07.2016;10:00 - 10:15;69;33
07.07.2016;10:15 - 10:30;71;32
07.07.2016;10:30 - 10:45;73;35
07.07.2016;10:45 - 11:00;76;40
07.07.2016;11:00 - 11:15;78;38
07.07.2016;11:15 - 11:30;81;37
07.07.2016;11:30 - 11:45;86;41
07.07.2016;11:45 - 12:00;89;45
07.07.2016;12:00 - 12:15;91;46
07.07.2016;12:15 - 12:30;96;48
07.07.2016;12:30 - 12:45;101;50
07.07.2016;12:45 - 13:00;103;52
07.07.2016;13:00 - 13:15;105;52
07.07.2016;13:15 - 13:30;109;59
07.07.2016;13:30 - 13:45;114;69
07.07.2016;13:45 - 14:00;120;73
07.07.2016;14:00 - 14:15;124;74
07.07.2016;14:15 - 14:30;131;81
07.07.2016;14:30 - 14:45;137;89
07.07.2016;14:45 - 15:00;144;88
07.07.2016;15:00 - 15:15;152;101
07.07.2016;15:15 - 15:30;158;108
07.07.2016;15:30 - 15:45;163;112
07.07.2016;15:45 - 16:00;168;114
07.07.2016;16:00 - 16:15;173;127
07.07.2016;16:15 - 16:30;177;131
07.07.2016;16:30 - 16:45;182;132
07.07.2016;16:45 - 17:00;186;144
07.07.2016;17:00 - 17:15;190;153
07.07.2016;17:15 - 17:30;190;173
07.07.2016;17:30 - 17:45;189;193
07.07.2016;17:45 - 18:00;186;187
07.07.2016;18:00 - 18:15;184;173
07.07.2016;18:15 - 18:30;184;174
07.07.2016;18:30 - 18:45;184;176
07.07.2016;18:45 - 19:00;184;149
07.07.2016;19:00 - 19:15;182;137
07.07.2016;19:15 - 19:30;176;107
07.07.2016;19:30 - 19:45;170;91
07.07.2016;19:45 - 20:00;165;96
07.07.2016;20:00 - 20:15;159;90
07.07.2016;20:15 - 20:30;169;100
07.07.2016;20:30 - 20:45;177;111
07.07.2016;20:45 - 21:00;187;127
07.07.2016;21:00 - 21:15;198;146
07.07.2016;21:15 - 21:30;214;162
07.07.2016;21:30 - 21:45;231;181
07.07.2016;21:45 - 22:00;249;177
07.07.2016;22:00 - 22:15;266;172
07.07.2016;22:15 - 22:30;278;194
07.07.2016;22:30 - 22:45;291;223
07.07.2016;22:45 - 23:00;304;228
07.07.2016;23:00 - 23:15;317;248
07.07.2016;23:15 - 23:30;319;266
07.07.2016;23:30 - 23:45;322;266
07.07.2016;23:45 - 00:00;323;299
08.07.2016;00:00 - 00:15;344;298
08.07.2016;00:15 - 00:30;360;335
08.07.2016;00:30 - 00:45;377;348
08.07.2016;00:45 - 01:00;394;345
08.07.2016;01:00 - 01:15;409;343
08.07.2016;01:15 - 01:30;420;360
08.07.2016;01:30 - 01:45;432;365
08.07.2016;01:45 - 02:00;445;377
08.07.2016;02:00 - 02:15;456;417
08.07.2016;02:15 - 02:30;470;435
08.07.2016;02:30 - 02:45;485;447
08.07.2016;02:45 - 03:00;499;455
08.07.2016;03:00 - 03:15;516;477
08.07.2016;03:15 - 03:30;528;457
08.07.2016;03:30 - 03:45;540;478
08.07.2016;03:45 - 04:00;553;511
08.07.2016;04:00 - 04:15;565;513
08.07.2016;04:15 - 04:30;571;496
08.07.2016;04:30 - 04:45;578;495
08.07.2016;04:45 - 05:00;586;494
08.07.2016;05:00 - 05:15;594;493
08.07.2016;05:15 - 05:30;600;502
08.07.2016;05:30 - 05:45;607;534
08.07.2016;05:45 - 06:00;613;543
08.07.2016;06:00 - 06:15;618;540
08.07.2016;06:15 - 06:30;605;538
08.07.2016;06:30 - 06:45;594;532
08.07.2016;06:45 - 07:00;582;545
08.07.2016;07:00 - 07:15;570;518
08.07.2016;07:15 - 07:30;541;530
08.07.2016;07:30 - 07:45;512;542
08.07.2016;07:45 - 08:00;462;548
08.07.2016;08:00 - 08:15;415;569
08.07.2016;08:15 - 08:30;379;589
08.07.2016;08:30 - 08:45;344;558
08.07.2016;08:45 - 09:00;326;522
08.07.2016;09:00 - 09:15;311;499
08.07.2016;09:15 - 09:30;316;501
08.07.2016;09:30 - 09:45;322;455
08.07.2016;09:45 - 10:00;342;482
08.07.2016;10:00 - 10:15;364;535
08.07.2016;10:15 - 10:30;414;581
08.07.2016;10:30 - 10:45;464;616
08.07.2016;10:45 - 11:00;505;730
08.07.2016;11:00 - 11:15;544;851
08.07.2016;11:15 - 11:30;638;1010
08.07.2016;11:30 - 11:45;737;1273
08.07.2016;11:45 - 12:00;837;1506
08.07.2016;12:00 - 12:15;928;1684
08.07.2016;12:15 - 12:30;1026;1828
08.07.2016;12:30 - 12:45;1125;1980
08.07.2016;12:45 - 13:00;1230;2247
08.07.2016;13:00 - 13:15;1331;2506
08.07.2016;13:15 - 13:30;1420;2574
08.07.2016;13:30 - 13:45;1509;2662
08.07.2016;13:45 - 14:00;1599;2701
08.07.2016;14:00 - 14:15;1687;2915
08.07.2016;14:15 - 14:30;1721;2975
08.07.2016;14:30 - 14:45;1760;2830
08.07.2016;14:45 - 15:00;1798;2888
08.07.2016;15:00 - 15:15;1846;2836
08.07.2016;15:15 - 15:30;1861;2638
08.07.2016;15:30 - 15:45;1876;2571
08.07.2016;15:45 - 16:00;1890;2321
08.07.2016;16:00 - 16:15;1905;2276
08.07.2016;16:15 - 16:30;1905;2187
08.07.2016;16:30 - 16:45;1900;2212
08.07.2016;16:45 - 17:00;1897;2328
08.07.2016;17:00 - 17:15;1896;2270
08.07.2016;17:15 - 17:30;1886;2387
08.07.2016;17:30 - 17:45;1875;2360
08.07.2016;17:45 - 18:00;1860;2365
08.07.2016;18:00 - 18:15;1847;2367
08.07.2016;18:15 - 18:30;1840;2330
08.07.2016;18:30 - 18:45;1827;2293
08.07.2016;18:45 - 19:00;1816;2212
08.07.2016;19:00 - 19:15;1810;2079
08.07.2016;19:15 - 19:30;1778;1896
08.07.2016;19:30 - 19:45;1745;1804
08.07.2016;19:45 - 20:00;1716;1644
08.07.2016;20:00 - 20:15;1692;1554
08.07.2016;20:15 - 20:30;1635;1507
08.07.2016;20:30 - 20:45;1577;1461
08.07.2016;20:45 - 21:00;1523;1423
08.07.2016;21:00 - 21:15;1479;1401
08.07.2016;21:15 - 21:30;1436;1333
08.07.2016;21:30 - 21:45;1394;1333
08.07.2016;21:45 - 22:00;1354;1403
08.07.2016;22:00 - 22:15;1315;1403
08.07.2016;22:15 - 22:30;1287;1377
08.07.2016;22:30 - 22:45;1259;1379
08.07.2016;22:45 - 23:00;1231;1423
08.07.2016;23:00 - 23:15;1205;1419
08.07.2016;23:15 - 23:30;1200;1416
08.07.2016;23:30 - 23:45;1196;1459
08.07.2016;23:45 - 00:00;1192;1456
09.07.2016;00:00 - 00:15;1535;1474
09.07.2016;00:15 - 00:30;1562;1517
09.07.2016;00:30 - 00:45;1589;1496
09.07.2016;00:45 - 01:00;1616;1508
09.07.2016;01:00 - 01:15;1635;1542
09.07.2016;01:15 - 01:30;1655;1468
09.07.2016;01:30 - 01:45;1674;1316
09.07.2016;01:45 - 02:00;1691;1350
09.07.2016;02:00 - 02:15;1680;1327
09.07.2016;02:15 - 02:30;1642;1306
09.07.2016;02:30 - 02:45;1604;1292
09.07.2016;02:45 - 03:00;1566;1229
09.07.2016;03:00 - 03:15;1525;1202
09.07.2016;03:15 - 03:30;1487;1198
09.07.2016;03:30 - 03:45;1449;1211
09.07.2016;03:45 - 04:00;1413;1154
09.07.2016;04:00 - 04:15;1378;1096
09.07.2016;04:15 - 04:30;1341;1090
09.07.2016;04:30 - 04:45;1305;1037
09.07.2016;04:45 - 05:00;1268;965
09.07.2016;05:00 - 05:15;1234;913
09.07.2016;05:15 - 05:30;1195;883
09.07.2016;05:30 - 05:45;1157;905
09.07.2016;05:45 - 06:00;1118;871
09.07.2016;06:00 - 06:15;1072;816
09.07.2016;06:15 - 06:30;1020;772
09.07.2016;06:30 - 06:45;965;746
09.07.2016;06:45 - 07:00;910;678
09.07.2016;07:00 - 07:15;853;637
09.07.2016;07:15 - 07:30;795;574
09.07.2016;07:30 - 07:45;736;490
09.07.2016;07:45 - 08:00;676;390
09.07.2016;08:00 - 08:15;615;330
09.07.2016;08:15 - 08:30;615;326
09.07.2016;08:30 - 08:45;618;323
09.07.2016;08:45 - 09:00;621;334
09.07.2016;09:00 - 09:15;625;344
09.07.2016;09:15 - 09:30;630;353
09.07.2016;09:30 - 09:45;634;368
09.07.2016;09:45 - 10:00;638;389
09.07.2016;10:00 - 10:15;645;418
09.07.2016;10:15 - 10:30;658;441
09.07.2016;10:30 - 10:45;671;476
09.07.2016;10:45 - 11:00;685;475
09.07.2016;11:00 - 11:15;698;453
09.07.2016;11:15 - 11:30;716;482
09.07.2016;11:30 - 11:45;735;505
09.07.2016;11:45 - 12:00;755;523
09.07.2016;12:00 - 12:15;768;511
09.07.2016;12:15 - 12:30;788;502
09.07.2016;12:30 - 12:45;808;507
09.07.2016;12:45 - 13:00;828;515
09.07.2016;13:00 - 13:15;843;501
09.07.2016;13:15 - 13:30;846;550
09.07.2016;13:30 - 13:45;849;552
09.07.2016;13:45 - 14:00;852;591
09.07.2016;14:00 - 14:15;856;642
09.07.2016;14:15 - 14:30;847;623
09.07.2016;14:30 - 14:45;839;662
09.07.2016;14:45 - 15:00;830;712
09.07.2016;15:00 - 15:15;830;761
09.07.2016;15:15 - 15:30;820;810
09.07.2016;15:30 - 15:45;809;802
09.07.2016;15:45 - 16:00;797;823
09.07.2016;16:00 - 16:15;794;820
